x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,
10,14,10,10,14,14,10,10,18,10,14,18,10,18,18,0
10,14,10,10,14,14,10,10,18,10,14,18,10,18,18,0
10,14,10,12,14,14,12,10,18,11,15,17,11.33333333,16.66666667,18,1
10,14,10,14,14,14,14,10,18,12,16,16,12.66666667,15.33333333,18,2
11.33333333,12.66666667,10,15.33333333,15.33333333,14,15.33333333,11.33333333,18,13,17,15,14,14,18,3
12.66666667,11.33333333,10,16.66666667,16.66666667,14,16.66666667,12.66666667,18,14,18,14,15,13,17,4
14,10,10,18,18,14,18,14,18,15.33333333,18,12.66666667,16,12,16,5
16,10,10,18,18,14,18,14,18,16.66666667,18,11.33333333,17,11,15,6
18,10,10,18,18,14,18,14,18,18,18,10,18,10,14,7
18,10,10,18,18,14,18,14,18,18,18,10,18,10,14,7
